,gender,marital_status,region,introversion_mapped,exposure,level_of_comfort,Conservatism,with_or_aginst_mixed_sex_universities
0,Female,Single,3,0,0.66666664,4.0,4.0,Against mixed-sex universities
1,Male,Single,1,1,0.33333332,3.0,0.6666666666666666,Against mixed-sex universities
2,Male,Single,1,2,0.0,4.0,4.0,With mixed-sex universities
3,Female,Single,1,2,0.0,3.333333333333333,1.0,Against mixed-sex universities
4,Female,Single,3,1,0.0,3.6666666666666665,4.0,With mixed-sex universities
5,Male,Single,2,0,0.0,4.0,4.0,With mixed-sex universities
6,Female,Single,1,2,0.33333332,3.333333333333333,3.0,With mixed-sex universities
7,Male,Single,1,1,0.33333332,3.6666666666666665,2.0,With mixed-sex universities
8,Female,Single,1,1,0.0,4.0,3.0,With mixed-sex universities
9,Male,Married,1,1,0.66666664,3.6666666666666665,3.0,With mixed-sex universities
10,Female,Married,1,2,0.99999996,3.0,1.0,With mixed-sex universities
11,Female,Married,1,2,0.99999996,3.0,1.0,With mixed-sex universities
12,Female,Single,1,0,0.0,3.333333333333333,1.0,Against mixed-sex universities
13,Female,Single,3,0,0.0,3.0,4.0,With mixed-sex universities
14,Male,Single,3,1,0.66666664,4.0,3.0,With mixed-sex universities
15,Male,Single,2,1,0.66666664,3.6666666666666665,3.0,With mixed-sex universities
16,Female,Single,1,2,0.0,3.6666666666666665,4.0,With mixed-sex universities
17,Male,Single,1,2,0.33333332,4.0,2.0,With mixed-sex universities
18,Male,Single,2,1,0.0,2.333333333333333,0.6666666666666666,Against mixed-sex universities
19,Female,Single,2,0,0.66666664,4.0,4.0,With mixed-sex universities
20,Male,Single,1,0,0.66666664,4.0,4.0,With mixed-sex universities
21,Male,Single,1,2,0.66666664,3.0,3.0,Against mixed-sex universities
22,Female,Married,1,0,0.66666664,4.0,3.0,With mixed-sex universities
23,Male,Single,1,2,0.66666664,4.0,2.0,With mixed-sex universities
24,Male,Single,1,1,0.66666664,4.0,3.0,With mixed-sex universities
25,Male,Single,1,0,0.66666664,3.6666666666666665,4.0,With mixed-sex universities
26,Female,Single,1,1,0.99999996,3.6666666666666665,3.0,With mixed-sex universities
27,Male,Single,1,0,0.99999996,4.0,3.0,With mixed-sex universities
28,Male,Single,3,0,0.66666664,4.0,3.0,With mixed-sex universities
29,Male,Single,1,2,0.66666664,3.6666666666666665,1.0,Against mixed-sex universities
30,Female,Single,1,1,0.66666664,4.0,4.0,With mixed-sex universities
31,Female,Single,2,0,0.99999996,4.0,3.0,With mixed-sex universities
32,Male,Single,1,1,0.66666664,4.0,1.0,Against mixed-sex universities
33,Male,Single,2,2,0.66666664,4.0,3.0,With mixed-sex universities
34,Male,Single,1,2,0.0,4.0,2.0,With mixed-sex universities
35,Male,Single,3,2,0.66666664,4.0,4.0,With mixed-sex universities
36,Female,Single,1,2,0.0,3.0,1.0,With mixed-sex universities
37,Female,Single,2,2,0.66666664,3.6666666666666665,4.0,With mixed-sex universities
38,Female,Single,3,2,0.33333332,2.6666666666666665,3.0,Against mixed-sex universities
39,Female,Single,1,2,0.0,2.333333333333333,1.0,Against mixed-sex universities
