,region,introversion_mapped,exposure,level_of_comfort,Conservatism,gender_Male,marital_status_Single
0,3,0,0.66666664,4.0,4.0,0,1
1,1,1,0.33333332,3.0,0.6666666666666666,1,1
2,1,2,0.0,4.0,4.0,1,1
3,1,2,0.0,3.333333333333333,1.0,0,1
4,3,1,0.0,3.6666666666666665,4.0,0,1
5,2,0,0.0,4.0,4.0,1,1
6,1,2,0.33333332,3.333333333333333,3.0,0,1
7,1,1,0.33333332,3.6666666666666665,2.0,1,1
8,1,1,0.0,4.0,3.0,0,1
9,1,1,0.66666664,3.6666666666666665,3.0,1,0
10,1,2,0.99999996,3.0,1.0,0,0
11,1,2,0.99999996,3.0,1.0,0,0
12,1,0,0.0,3.333333333333333,1.0,0,1
13,3,0,0.0,3.0,4.0,0,1
14,3,1,0.66666664,4.0,3.0,1,1
15,2,1,0.66666664,3.6666666666666665,3.0,1,1
16,1,2,0.0,3.6666666666666665,4.0,0,1
17,1,2,0.33333332,4.0,2.0,1,1
18,2,1,0.0,2.333333333333333,0.6666666666666666,1,1
19,2,0,0.66666664,4.0,4.0,0,1
20,1,0,0.66666664,4.0,4.0,1,1
21,1,2,0.66666664,3.0,3.0,1,1
22,1,0,0.66666664,4.0,3.0,0,0
23,1,2,0.66666664,4.0,2.0,1,1
24,1,1,0.66666664,4.0,3.0,1,1
25,1,0,0.66666664,3.6666666666666665,4.0,1,1
26,1,1,0.99999996,3.6666666666666665,3.0,0,1
27,1,0,0.99999996,4.0,3.0,1,1
28,3,0,0.66666664,4.0,3.0,1,1
29,1,2,0.66666664,3.6666666666666665,1.0,1,1
30,1,1,0.66666664,4.0,4.0,0,1
31,2,0,0.99999996,4.0,3.0,0,1
32,1,1,0.66666664,4.0,1.0,1,1
33,2,2,0.66666664,4.0,3.0,1,1
34,1,2,0.0,4.0,2.0,1,1
35,3,2,0.66666664,4.0,4.0,1,1
36,1,2,0.0,3.0,1.0,0,1
37,2,2,0.66666664,3.6666666666666665,4.0,0,1
38,3,2,0.33333332,2.6666666666666665,3.0,0,1
39,1,2,0.0,2.333333333333333,1.0,0,1
40,2,2,0.66666664,4.0,3.0,1,1
41,1,2,0.33333332,3.333333333333333,3.0,0,1
42,2,1,0.0,2.333333333333333,0.6666666666666666,1,1
43,3,1,0.66666664,4.0,1.0,1,1
44,1,2,0.0,3.6666666666666665,4.0,0,1
45,1,2,0.66666664,4.0,3.0,1,0
46,1,0,0.33333332,3.0,1.0,0,1
47,1,2,0.0,3.6666666666666665,1.0,1,1
48,1,1,0.66666664,3.6666666666666665,3.0,0,1
49,2,2,0.33333332,2.6666666666666665,1.0,1,1
50,1,2,0.0,3.6666666666666665,1.0,1,1
51,2,2,0.66666664,4.0,4.0,1,1
52,2,2,0.66666664,3.333333333333333,1.3333333333333333,1,1
53,3,1,0.66666664,3.6666666666666665,2.0,1,1
54,1,0,0.33333332,3.0,1.0,0,1
55,1,1,0.66666664,2.6666666666666665,4.0,0,1
56,2,2,0.66666664,4.0,4.0,1,1
57,2,2,0.66666664,4.0,3.0,1,1
58,3,0,0.0,3.0,4.0,0,1
59,2,2,0.0,3.333333333333333,3.0,1,1
60,1,0,0.66666664,3.0,3.0,1,1
61,1,1,0.0,4.0,0.6666666666666666,1,1
62,1,0,0.33333332,4.0,4.0,1,1
63,3,1,0.66666664,4.0,3.0,1,1
64,2,0,0.0,3.0,4.0,0,1
65,1,0,0.66666664,3.6666666666666665,4.0,0,1
66,1,2,0.66666664,4.0,3.0,1,1
67,1,0,0.0,2.333333333333333,1.0,0,1
68,1,0,0.0,2.333333333333333,1.0,0,1
69,2,2,0.99999996,4.0,3.0,1,1
70,1,2,0.0,3.0,0.6666666666666666,1,1
71,3,2,0.66666664,2.6666666666666665,3.0,1,1
72,1,0,0.66666664,3.0,4.0,0,1
73,4,2,0.99999996,4.0,4.0,1,1
74,2,0,0.0,3.0,4.0,0,1
75,1,0,0.66666664,3.6666666666666665,4.0,0,1
76,1,0,0.66666664,2.0,2.0,1,1
77,2,2,0.66666664,3.6666666666666665,4.0,0,1
78,1,2,0.0,4.0,4.0,1,1
79,1,2,0.0,1.3333333333333333,3.0,1,1
80,1,2,0.0,4.0,4.0,0,1
81,2,2,0.66666664,4.0,3.0,1,1
82,3,2,0.66666664,4.0,4.0,1,1
83,3,1,0.66666664,3.6666666666666665,3.0,1,1
84,1,2,0.66666664,3.6666666666666665,2.0,1,1
85,2,0,0.66666664,4.0,1.0,1,1
86,1,2,0.66666664,4.0,3.0,0,0
87,1,1,0.0,3.6666666666666665,1.0,0,1
88,2,2,0.66666664,2.6666666666666665,4.0,0,1
89,1,1,0.66666664,3.6666666666666665,0.3333333333333333,1,1
90,1,2,0.66666664,3.6666666666666665,4.0,1,1
91,1,2,0.66666664,4.0,4.0,1,1
92,1,2,0.0,4.0,2.0,1,1
93,2,2,0.66666664,4.0,3.0,1,1
94,1,1,0.66666664,4.0,2.0,1,1
95,2,0,0.0,3.6666666666666665,2.0,1,1
96,1,1,0.66666664,3.6666666666666665,3.0,1,1
97,3,2,0.99999996,3.333333333333333,4.0,1,1
98,1,2,0.99999996,4.0,4.0,0,1
99,2,0,0.0,3.6666666666666665,2.0,1,1
100,1,2,0.66666664,3.6666666666666665,2.0,1,1
101,2,0,0.0,3.6666666666666665,2.0,1,1
102,1,2,0.66666664,3.6666666666666665,4.0,1,1
103,1,2,0.0,1.3333333333333333,3.0,1,1
104,3,1,0.0,2.0,1.3333333333333333,0,0
105,3,0,0.0,1.0,0.3333333333333333,0,0
