"Timestamp","1) What is your gender? ","2) What is your marital status? ","3) In which region are you located? ","4) Did you get your bachelor degree in Saudi or Abroad?","5) If you have a master's degree, did you study in Saudi or Abroad? If not applicable, please choose N/A.","6) Have you ever studied in a mixed-sex university? ","7) After you spend a long day, how do you gain energy? ","8) The people who know you best are more likely to describe you as someone who is:","9) Do you think that household chores should be equally divided between men and women? [Choose:]","10) Do you prefer working in a single-sex work environment or mixed-sex work environment? ","11) In your previous work/internship experience: how comfortable did you feel talking to members of the opposite gender?  [Choose:]","12) If someone from the opposite gender has the information you need at work, how likely will you ask for the information?  [Choose:]","13) How likely are you willing to work on a project with someone from the opposite gender? [Choose:]","14) If you studied abroad, can you identify any event that influenced your views about gender?","15) Are you with or against mixed-sex universities in Saudi? ","16) What do you think about having mixed-sex universities in Saudi? Please list three reasons why or why not."
"2020/12/02 1:19:18 PM GMT+3","Female","Single","Eastern","Abroad","N/A","Yes, undergrad","Inner reflection and solitude","Quiet and reflective","4: Strongly agree","Mixed-sex work environment","4: Very comfortable","4: Highly likely","4: Highly likely","","Against mixed-sex universities","N/A"
"2020/12/02 1:21:06 PM GMT+3","Male","Single","Center","Saudi","Abroad","Yes, grad","Going out with friends","Outgoing and talkative","2: Disagree","Single-sex work environment","3: Comfortable","3: Likely","3: Likely","","Against mixed-sex universities","Against it, privacy, competitiveness, security"
"2020/12/02 1:29:40 PM GMT+3","Male","Single","Center","Saudi","N/A","No, neither","Inner reflection and solitude","Outgoing and talkative","4: Strongly agree","Mixed-sex work environment","4: Very comfortable","4: Highly likely","4: Highly likely","","With mixed-sex universities","Open mind, ice breaks and  better environment"
"2020/12/02 1:31:00 PM GMT+3","Female","Single","Center","Saudi","N/A","No, neither","Inner reflection and solitude","Outgoing and talkative","3: Agree","Single-sex work environment","3: Comfortable","4: Highly likely","3: Likely","","Against mixed-sex universities","1- it’s could be a problem in our society’s culture, 2- could create problems sexually, 3- could create issues with academic performance"
"2020/12/02 1:36:05 PM GMT+3","Female","Single","Eastern","Saudi","N/A","No, neither","Going out with friends","Outgoing and talkative","4: Strongly agree","Mixed-sex work environment","3: Comfortable","4: Highly likely","4: Highly likely","","With mixed-sex universities","I agree.
1. Preparing students for mixed-sex working places
2. Learning how to become comfortable with the other sex 
3. Getting used to the boadaries between both sexes. "
"2020/12/02 1:39:58 PM GMT+3","Male","Single","Western","Saudi","N/A","No, neither","Inner reflection and solitude","Quiet and reflective","4: Strongly agree","Mixed-sex work environment","4: Very comfortable","4: Highly likely","4: Highly likely","","With mixed-sex universities","1- it would help our society shed their antiquated ideas about gender roles
2- prepares a new generation for the already unsegregated work environment
3- reducing the unnecessary costs of having two campuses "
"2020/12/02 1:42:53 PM GMT+3","Female","Single","Center","Saudi","Abroad","Yes, grad","Inner reflection and solitude","Outgoing and talkative","3: Agree","Mixed-sex work environment","3: Comfortable","4: Highly likely","3: Likely","","With mixed-sex universities","Bring diversity, get them prepared for work culture, integration "
"2020/12/02 1:50:41 PM GMT+3","Male","Single","Center","Saudi","Abroad","Yes, grad","Going out with friends","Outgoing and talkative","2: Disagree","Mixed-sex work environment","3: Comfortable","4: Highly likely","4: Highly likely","During different group works that I had with the opposite gender,they were very effective and reflect how good to have mixed gender which may offer different prospectives.","With mixed-sex universities","Mixed-sex can improve the quality of education "
"2020/12/02 1:55:01 PM GMT+3","Female","Single","Center","Saudi","N/A","No, neither","Going out with friends","Outgoing and talkative","3: Agree","Mixed-sex work environment","4: Very comfortable","4: Highly likely","4: Highly likely","","With mixed-sex universities","Less cost 
Less resources"
"2020/12/02 4:13:55 PM GMT+3","Male","Married","Center","Saudi","N/A","Yes, undergrad","Going out with friends","Outgoing and talkative","3: Agree","Mixed-sex work environment","3: Comfortable","4: Highly likely","4: Highly likely","N/A","With mixed-sex universities","Great idea"
