,introversion_mapped,exposure,level_of_comfort,Conservatism,gender_Male,marital_status_Single,region_Eastern,region_Nothern,region_Western,With mixed-sex universities
0,0,0.66666664,4.0,4.0,0,1,1,0,0,0
1,1,0.33333332,3.0,0.6666666666666666,1,1,0,0,0,0
2,2,0.0,4.0,4.0,1,1,0,0,0,1
3,2,0.0,3.333333333333333,1.0,0,1,0,0,0,0
4,1,0.0,3.6666666666666665,4.0,0,1,1,0,0,1
5,0,0.0,4.0,4.0,1,1,0,0,1,1
6,2,0.33333332,3.333333333333333,3.0,0,1,0,0,0,1
7,1,0.33333332,3.6666666666666665,2.0,1,1,0,0,0,1
8,1,0.0,4.0,3.0,0,1,0,0,0,1
9,1,0.66666664,3.6666666666666665,3.0,1,0,0,0,0,1
10,2,0.99999996,3.0,1.0,0,0,0,0,0,1
11,2,0.99999996,3.0,1.0,0,0,0,0,0,1
12,0,0.0,3.333333333333333,1.0,0,1,0,0,0,0
13,0,0.0,3.0,4.0,0,1,1,0,0,1
14,1,0.66666664,4.0,3.0,1,1,1,0,0,1
15,1,0.66666664,3.6666666666666665,3.0,1,1,0,0,1,1
16,2,0.0,3.6666666666666665,4.0,0,1,0,0,0,1
17,2,0.33333332,4.0,2.0,1,1,0,0,0,1
18,1,0.0,2.333333333333333,0.6666666666666666,1,1,0,0,1,0
19,0,0.66666664,4.0,4.0,0,1,0,0,1,1
20,0,0.66666664,4.0,4.0,1,1,0,0,0,1
21,2,0.66666664,3.0,3.0,1,1,0,0,0,0
22,0,0.66666664,4.0,3.0,0,0,0,0,0,1
23,2,0.66666664,4.0,2.0,1,1,0,0,0,1
24,1,0.66666664,4.0,3.0,1,1,0,0,0,1
25,0,0.66666664,3.6666666666666665,4.0,1,1,0,0,0,1
26,1,0.99999996,3.6666666666666665,3.0,0,1,0,0,0,1
27,0,0.99999996,4.0,3.0,1,1,0,0,0,1
28,0,0.66666664,4.0,3.0,1,1,1,0,0,1
29,2,0.66666664,3.6666666666666665,1.0,1,1,0,0,0,0
30,1,0.66666664,4.0,4.0,0,1,0,0,0,1
31,0,0.99999996,4.0,3.0,0,1,0,0,1,1
32,1,0.66666664,4.0,1.0,1,1,0,0,0,0
33,2,0.66666664,4.0,3.0,1,1,0,0,1,1
34,2,0.0,4.0,2.0,1,1,0,0,0,1
35,2,0.66666664,4.0,4.0,1,1,1,0,0,1
36,2,0.0,3.0,1.0,0,1,0,0,0,1
37,2,0.66666664,3.6666666666666665,4.0,0,1,0,0,1,1
38,2,0.33333332,2.6666666666666665,3.0,0,1,1,0,0,0
