,timestamp,gender,marital_status,region,bachelor_loc,masters_loc,mixed_sex,introversion_personal,introversion_public,household_chores,single_vs_mixed_working_env,comfort_with_other_gender,comfort_with_help_from_other_gender,project_with_other_gender,events_that_influnced_gender_views,with_or_aginst_mixed_sex_universities,opinion_mixed_sex_universites,introversion,introversion_mapped,exposure,household_chores_num,comfort_with_other_gender_num,comfort_with_help_from_other_gender_num,project_with_other_gender_num,level_of_comfort,Conservatism
0,2020-12-02 01:19:18,Female,Single,Eastern,Abroad,n/a,"Yes, undergrad",Inner reflection and solitude,Quiet and reflective,4: Strongly agree,Mixed-sex work environment,4: Very comfortable,4: Highly likely,4: Highly likely,n/a,Against mixed-sex universities,n/a,introvert,0,0.66666664,4,4,4,4,4.0,4.0
1,2020-12-02 01:21:06,Male,Single,Center,Saudi,Abroad,"Yes, grad",Going out with friends,Outgoing and talkative,2: Disagree,Single-sex work environment,3: Comfortable,3: Likely,3: Likely,n/a,Against mixed-sex universities,"Against it, privacy, competitiveness, security",extrovert,1,0.33333332,2,3,3,3,3.0,0.6666666666666666
2,2020-12-02 01:29:40,Male,Single,Center,Saudi,n/a,"No, neither",Inner reflection and solitude,Outgoing and talkative,4: Strongly agree,Mixed-sex work environment,4: Very comfortable,4: Highly likely,4: Highly likely,n/a,With mixed-sex universities,"Open mind, ice breaks and  better environment",introvert/extrovert,2,0.0,4,4,4,4,4.0,4.0
3,2020-12-02 01:31:00,Female,Single,Center,Saudi,n/a,"No, neither",Inner reflection and solitude,Outgoing and talkative,3: Agree,Single-sex work environment,3: Comfortable,4: Highly likely,3: Likely,n/a,Against mixed-sex universities,"1- it’s could be a problem in our society’s culture, 2- could create problems sexually, 3- could create issues with academic performance",introvert/extrovert,2,0.0,3,3,4,3,3.333333333333333,1.0
4,2020-12-02 01:36:05,Female,Single,Eastern,Saudi,n/a,"No, neither",Going out with friends,Outgoing and talkative,4: Strongly agree,Mixed-sex work environment,3: Comfortable,4: Highly likely,4: Highly likely,n/a,With mixed-sex universities,"I agree.
1. Preparing students for mixed-sex working places
2. Learning how to become comfortable with the other sex 
3. Getting used to the boadaries between both sexes. ",extrovert,1,0.0,4,3,4,4,3.6666666666666665,4.0
5,2020-12-02 01:39:58,Male,Single,Western,Saudi,n/a,"No, neither",Inner reflection and solitude,Quiet and reflective,4: Strongly agree,Mixed-sex work environment,4: Very comfortable,4: Highly likely,4: Highly likely,n/a,With mixed-sex universities,"1- it would help our society shed their antiquated ideas about gender roles
2- prepares a new generation for the already unsegregated work environment
3- reducing the unnecessary costs of having two campuses ",introvert,0,0.0,4,4,4,4,4.0,4.0
6,2020-12-02 01:42:53,Female,Single,Center,Saudi,Abroad,"Yes, grad",Inner reflection and solitude,Outgoing and talkative,3: Agree,Mixed-sex work environment,3: Comfortable,4: Highly likely,3: Likely,n/a,With mixed-sex universities,"Bring diversity, get them prepared for work culture, integration ",introvert/extrovert,2,0.33333332,3,3,4,3,3.333333333333333,3.0
7,2020-12-02 01:50:41,Male,Single,Center,Saudi,Abroad,"Yes, grad",Going out with friends,Outgoing and talkative,2: Disagree,Mixed-sex work environment,3: Comfortable,4: Highly likely,4: Highly likely,"During different group works that I had with the opposite gender,they were very effective and reflect how good to have mixed gender which may offer different prospectives.",With mixed-sex universities,Mixed-sex can improve the quality of education ,extrovert,1,0.33333332,2,3,4,4,3.6666666666666665,2.0
8,2020-12-02 01:55:01,Female,Single,Center,Saudi,n/a,"No, neither",Going out with friends,Outgoing and talkative,3: Agree,Mixed-sex work environment,4: Very comfortable,4: Highly likely,4: Highly likely,n/a,With mixed-sex universities,"Less cost 
Less resources",extrovert,1,0.0,3,4,4,4,4.0,3.0
9,2020-12-02 04:13:55,Male,Married,Center,Saudi,n/a,"Yes, undergrad",Going out with friends,Outgoing and talkative,3: Agree,Mixed-sex work environment,3: Comfortable,4: Highly likely,4: Highly likely,n/a,With mixed-sex universities,Great idea,extrovert,1,0.66666664,3,3,4,4,3.6666666666666665,3.0
